version,n-workers,n-secondary-workers,n-reservations,n-relations,n-queries,password-work-factor,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
original,1,0,1000,50,10,5,142.19,4.5,0.4,144.57,5.3544209,2.725676,0.5090515,26.56,0.84,0.07,27.0
original,2,0,1000,50,10,5,87.36,1.94,0.01,88.73,4.4034525,1.819913,0.4132923,19.84,0.44,0.0,20.15
original,4,0,1000,50,10,5,98.76,1.84,0.15,100.12,3.955839,1.449253,0.3663579,24.97,0.47,0.04,25.31
original,6,0,1000,50,10,5,107.08,1.84,0.16,108.42,3.8015315,1.217516,0.3202699,28.17,0.48,0.04,28.52
original,8,0,1000,50,10,5,114.0,2.16,0.6,115.87,3.9100965,1.303161,0.333281,29.16,0.55,0.15,29.63
original,10,0,1000,50,10,5,114.54,1.85,0.16,115.91,3.8993266,1.3818,0.3543689,29.37,0.47,0.04,29.73
original,12,0,1000,50,10,5,116.06,1.99,0.36,117.64,3.8787774,1.321633,0.3407344,29.92,0.51,0.09,30.33
original,14,0,1000,50,10,5,118.45,1.89,0.24,119.93,3.9771048,1.462361,0.3676949,29.78,0.48,0.06,30.16
original,16,0,1000,50,10,5,123.16,2.09,0.41,124.85,4.0165973,1.434429,0.3571254,30.66,0.52,0.1,31.08
original,18,0,1000,50,10,5,127.78,1.93,0.03,129.09,4.1514521,1.596634,0.3845965,30.78,0.46,0.01,31.1
original,20,0,1000,50,10,5,121.3,1.81,0.0,122.52,3.9840486,1.455584,0.365353,30.45,0.45,0.0,30.75
original,22,0,1000,50,10,5,126.5,1.98,0.17,127.97,4.1566258,1.54287,0.3711833,30.43,0.48,0.04,30.79
original,24,0,1000,50,10,5,126.78,1.94,0.04,128.1,4.1301559,1.560698,0.3778787,30.7,0.47,0.01,31.02
original,26,0,1000,50,10,5,123.74,1.87,0.01,125.01,4.1072706,1.506248,0.3667272,30.13,0.46,0.0,30.44
original,28,0,1000,50,10,5,133.53,1.89,0.0,134.81,4.1846299,1.668977,0.398835,31.91,0.45,0.0,32.22
original,30,0,1000,50,10,5,123.68,1.85,0.0,124.95,4.1016818,1.520898,0.3707986,30.15,0.45,0.0,30.46
original,32,0,1000,50,10,5,125.59,1.85,0.0,126.85,4.1161707,1.551347,0.3768908,30.51,0.45,0.0,30.82
original,34,0,1000,50,10,5,129.84,1.9,0.01,131.14,4.1791372,1.614114,0.3862314,31.07,0.45,0.0,31.38
original,36,0,1000,50,10,5,143.68,2.39,0.82,145.92,4.4161726,1.807053,0.4091899,32.53,0.54,0.19,33.04
original,38,0,1000,50,10,5,135.23,2.15,0.37,136.95,4.216334,1.637313,0.3883262,32.07,0.51,0.09,32.48
original,40,0,1000,50,10,5,136.95,2.05,0.31,138.59,4.2672662,1.726792,0.40466,32.09,0.48,0.07,32.48
original,42,0,1000,50,10,5,134.83,2.27,0.57,136.77,4.263887,1.662493,0.3899008,31.62,0.53,0.13,32.08
original,44,0,1000,50,10,5,143.86,2.53,1.17,146.45,4.3608196,1.717949,0.3939509,32.99,0.58,0.27,33.58
original,46,0,1000,50,10,5,151.89,2.66,1.15,154.52,4.4940134,1.890125,0.4205873,33.8,0.59,0.26,34.38
original,48,0,1000,50,10,5,132.63,1.96,0.05,133.98,4.2094067,1.665641,0.395695,31.51,0.47,0.01,31.83
original,50,0,1000,50,10,5,132.99,2.03,0.05,134.39,4.301539,1.680508,0.390676,30.92,0.47,0.01,31.24
original,52,0,1000,50,10,5,128.17,1.9,0.02,129.47,4.1074655,1.573171,0.3830029,31.2,0.46,0.0,31.52
original,54,0,1000,50,10,5,134.07,1.95,0.06,135.44,4.2311317,1.672418,0.3952649,31.69,0.46,0.01,32.01
original,56,0,1000,50,10,5,129.39,1.92,0.05,130.74,4.161628,1.595027,0.38327,31.09,0.46,0.01,31.42
original,58,0,1000,50,10,5,130.35,1.92,0.02,131.67,4.1555273,1.607821,0.3869114,31.37,0.46,0.0,31.69
original,60,0,1000,50,10,5,132.3,1.97,0.04,133.66,4.2681635,1.653256,0.387346,31.0,0.46,0.01,31.32
original,62,0,1000,50,10,5,134.35,1.96,0.05,135.71,4.2311864,1.716503,0.4056789,31.75,0.46,0.01,32.07
original,64,0,1000,50,10,5,132.23,1.93,0.04,133.57,4.2051986,1.649251,0.3921934,31.44,0.46,0.01,31.76
original,1,0,1000,50,10,5,83.24,2.01,0.05,84.83,5.1291917,2.60278,0.5074445,16.23,0.39,0.01,16.54
original,2,0,1000,50,10,5,85.51,1.8,0.07,86.89,4.3348896,1.803821,0.4161169,19.73,0.42,0.02,20.04
original,4,0,1000,50,10,5,97.65,1.72,0.03,98.89,3.9427709,1.422995,0.3609124,24.77,0.44,0.01,25.08
original,6,0,1000,50,10,5,109.86,1.71,0.05,111.08,3.768995,1.275186,0.3383358,29.15,0.45,0.01,29.47
original,8,0,1000,50,10,5,112.41,1.75,0.05,113.66,3.8384805,1.302336,0.3392843,29.29,0.46,0.01,29.61
original,10,0,1000,50,10,5,111.46,1.75,0.04,112.71,3.8633069,1.336086,0.34584,28.85,0.45,0.01,29.17
original,12,0,1000,50,10,5,114.04,1.75,0.05,115.28,3.832048,1.309697,0.3417747,29.76,0.46,0.01,30.08
original,14,0,1000,50,10,5,114.08,1.76,0.05,115.32,3.8629041,1.34572,0.34837,29.53,0.46,0.01,29.85
original,16,0,1000,50,10,5,117.3,1.8,0.03,118.56,3.965287,1.397804,0.3525102,29.58,0.45,0.01,29.9
original,18,0,1000,50,10,5,123.42,1.83,0.05,124.71,3.9828082,1.480766,0.3717894,30.99,0.46,0.01,31.31
original,20,0,1000,50,10,5,122.21,1.84,0.04,123.5,4.0235959,1.473374,0.3661834,30.37,0.46,0.01,30.69
original,22,0,1000,50,10,5,124.44,1.85,0.04,125.73,4.0336221,1.490915,0.3696219,30.85,0.46,0.01,31.17
original,24,0,1000,50,10,5,125.8,1.85,0.03,127.09,4.0314579,1.51811,0.376566,31.2,0.46,0.01,31.52
original,26,0,1000,50,10,5,124.29,1.85,0.04,125.57,4.0092902,1.486595,0.3707876,31.0,0.46,0.01,31.32
original,28,0,1000,50,10,5,128.56,1.89,0.05,129.89,4.1533329,1.575702,0.3793825,30.95,0.46,0.01,31.27
original,30,0,1000,50,10,5,134.17,1.94,0.04,135.52,4.2386051,1.647464,0.3886807,31.65,0.46,0.01,31.97
original,32,0,1000,50,10,5,127.43,1.88,0.05,128.75,4.0985709,1.541214,0.3760369,31.09,0.46,0.01,31.41
original,34,0,1000,50,10,5,134.77,1.92,0.02,136.1,4.1907654,1.658421,0.3957322,32.16,0.46,0.0,32.48
original,36,0,1000,50,10,5,134.74,1.94,0.06,136.11,4.2239347,1.658006,0.3925264,31.9,0.46,0.01,32.22
original,38,0,1000,50,10,5,130.78,1.91,0.04,132.11,4.1510154,1.570942,0.3784476,31.51,0.46,0.01,31.83
original,40,0,1000,50,10,5,132.02,1.92,0.02,133.34,4.1729154,1.609351,0.3856659,31.64,0.46,0.0,31.95
original,42,0,1000,50,10,5,131.91,1.93,0.06,133.26,4.1577248,1.606828,0.3864681,31.73,0.46,0.01,32.05
original,44,0,1000,50,10,5,136.42,1.95,0.04,137.79,4.2319021,1.693242,0.4001137,32.24,0.46,0.01,32.56
original,46,0,1000,50,10,5,132.76,1.93,0.02,134.09,4.1885143,1.617978,0.3862892,31.7,0.46,0.0,32.01
original,48,0,1000,50,10,5,129.28,1.92,0.04,130.62,4.1687379,1.603296,0.3845999,31.01,0.46,0.01,31.33
original,50,0,1000,50,10,5,132.63,1.93,0.04,133.97,4.1759471,1.631361,0.3906565,31.76,0.46,0.01,32.08
original,52,0,1000,50,10,5,133.83,1.93,0.03,135.17,4.2165399,1.640583,0.3890828,31.74,0.46,0.01,32.06
original,54,0,1000,50,10,5,132.25,1.94,0.04,133.61,4.2059327,1.659526,0.3945679,31.44,0.46,0.01,31.77
original,56,0,1000,50,10,5,134.59,1.94,0.05,135.95,4.2104549,1.654508,0.3929523,31.97,0.46,0.01,32.29
original,58,0,1000,50,10,5,133.91,1.94,0.03,135.27,4.2276169,1.64902,0.390059,31.68,0.46,0.01,32.0
original,60,0,1000,50,10,5,140.38,2.0,0.05,141.77,4.2991388,1.769195,0.4115231,32.65,0.47,0.01,32.98
original,62,0,1000,50,10,5,130.93,1.94,0.03,132.27,4.179027,1.600128,0.3828949,31.33,0.46,0.01,31.65
original,64,0,1000,50,10,5,138.16,1.95,0.02,139.51,4.2835649,1.718236,0.4011229,32.25,0.46,0.0,32.57
original,1,0,1000,50,10,5,84.46,2.02,0.05,86.06,5.1469484,2.602389,0.5056179,16.41,0.39,0.01,16.72
original,2,0,1000,50,10,5,85.89,1.78,0.05,87.24,4.2640295,1.744034,0.4090108,20.14,0.42,0.01,20.46
original,4,0,1000,50,10,5,97.5,1.71,0.02,98.72,3.9342201,1.367919,0.3476976,24.78,0.43,0.01,25.09
original,6,0,1000,50,10,5,108.93,1.71,0.04,110.13,3.7409812,1.186896,0.3172686,29.12,0.46,0.01,29.44
original,8,0,1000,50,10,5,109.23,1.73,0.03,110.44,3.8357302,1.266858,0.3302782,28.48,0.45,0.01,28.79
original,10,0,1000,50,10,5,111.11,1.74,0.05,112.35,3.8183818,1.2892,0.3376299,29.1,0.46,0.01,29.42
original,12,0,1000,50,10,5,117.0,1.76,0.05,118.24,3.8397801,1.342234,0.3495601,30.47,0.46,0.01,30.79
original,14,0,1000,50,10,5,120.42,1.8,0.05,121.7,3.9614761,1.433931,0.3619689,30.4,0.45,0.01,30.72
original,16,0,1000,50,10,5,116.12,1.76,0.02,117.35,3.8778431,1.36123,0.3510276,29.94,0.45,0.01,30.26
original,18,0,1000,50,10,5,123.05,1.82,0.03,124.31,3.978789,1.454347,0.365525,30.93,0.46,0.01,31.24
original,20,0,1000,50,10,5,116.56,1.78,0.06,117.84,3.8716249,1.343765,0.3470804,30.11,0.46,0.02,30.44
original,22,0,1000,50,10,5,124.32,1.85,0.04,125.63,4.0331672,1.476962,0.366204,30.82,0.46,0.01,31.15
original,24,0,1000,50,10,5,129.36,1.89,0.04,130.7,4.1370675,1.576869,0.3811562,31.27,0.46,0.01,31.59
original,26,0,1000,50,10,5,126.01,1.84,0.03,127.29,4.0216827,1.492789,0.3711852,31.33,0.46,0.01,31.65
original,28,0,1000,50,10,5,130.02,1.89,0.04,131.34,4.125457,1.569128,0.3803525,31.52,0.46,0.01,31.84
original,30,0,1000,50,10,5,126.82,1.88,0.04,128.15,4.1179747,1.5137,0.3675836,30.8,0.46,0.01,31.12
original,32,0,1000,50,10,5,131.07,1.93,0.04,132.42,4.1948717,1.611679,0.3842022,31.25,0.46,0.01,31.57
original,34,0,1000,50,10,5,130.46,1.89,0.04,131.78,4.1413209,1.56914,0.3788984,31.5,0.46,0.01,31.82
original,36,0,1000,50,10,5,133.76,1.92,0.05,135.11,4.1868595,1.638033,0.3912319,31.95,0.46,0.01,32.27
original,38,0,1000,50,10,5,131.89,1.92,0.04,133.23,4.1860917,1.606665,0.3838103,31.51,0.46,0.01,31.83
original,40,0,1000,50,10,5,137.91,1.95,0.02,139.26,4.2779907,1.746819,0.408327,32.24,0.46,0.0,32.55
original,42,0,1000,50,10,5,133.87,1.96,0.04,135.23,4.259646,1.690844,0.3969447,31.43,0.46,0.01,31.75
original,44,0,1000,50,10,5,136.05,1.95,0.06,137.42,4.2092845,1.682918,0.3998109,32.32,0.46,0.01,32.65
original,46,0,1000,50,10,5,138.98,1.97,0.02,140.35,4.2963354,1.721857,0.4007734,32.35,0.46,0.0,32.67
original,48,0,1000,50,10,5,136.64,1.95,0.06,138.02,4.2340933,1.682529,0.3973765,32.27,0.46,0.01,32.6
original,50,0,1000,50,10,5,133.14,1.94,0.05,134.49,4.187036,1.61629,0.3860225,31.8,0.46,0.01,32.12
original,52,0,1000,50,10,5,129.92,1.89,0.02,131.23,4.1125753,1.5468,0.3761147,31.59,0.46,0.0,31.91
original,54,0,1000,50,10,5,136.39,1.96,0.05,137.77,4.2455922,1.675002,0.3945273,32.13,0.46,0.01,32.45
original,56,0,1000,50,10,5,134.66,1.96,0.05,136.03,4.2583704,1.67997,0.3945101,31.62,0.46,0.01,31.94
original,58,0,1000,50,10,5,137.5,1.96,0.02,138.84,4.2379221,1.683492,0.3972447,32.45,0.46,0.0,32.76
original,60,0,1000,50,10,5,137.36,1.98,0.05,138.75,4.2750851,1.688023,0.3948513,32.13,0.46,0.01,32.46
original,62,0,1000,50,10,5,135.33,1.96,0.04,136.7,4.2383031,1.659547,0.3915593,31.93,0.46,0.01,32.25
original,64,0,1000,50,10,5,137.03,1.95,0.02,138.38,4.2433437,1.669463,0.393431,32.29,0.46,0.0,32.61
original,1,0,1000,50,10,5,86.24,2.01,0.05,87.83,5.1355948,2.602722,0.5068005,16.79,0.39,0.01,17.1
original,2,0,1000,50,10,5,88.47,1.82,0.06,89.86,4.376139,1.832071,0.4186501,20.22,0.42,0.01,20.53
original,4,0,1000,50,10,5,95.8,1.66,0.02,97.0,3.8054976,1.312861,0.3449906,25.17,0.44,0.01,25.49
original,6,0,1000,50,10,5,110.11,1.72,0.05,111.33,3.8134612,1.260997,0.3306699,28.87,0.45,0.01,29.19
original,8,0,1000,50,10,5,111.28,1.72,0.04,112.49,3.7881035,1.291567,0.3409535,29.38,0.45,0.01,29.7
original,10,0,1000,50,10,5,114.49,1.74,0.05,115.73,3.800101,1.285881,0.3383807,30.13,0.46,0.01,30.45
original,12,0,1000,50,10,5,112.19,1.74,0.05,113.44,3.8290106,1.28407,0.3353529,29.3,0.45,0.01,29.63
original,14,0,1000,50,10,5,118.76,1.78,0.05,120.02,3.8939756,1.38406,0.3554362,30.5,0.46,0.01,30.82
original,16,0,1000,50,10,5,120.14,1.79,0.03,121.4,3.9338972,1.404305,0.3569755,30.54,0.46,0.01,30.86
original,18,0,1000,50,10,5,120.6,1.79,0.05,121.87,3.9225033,1.382339,0.3524125,30.75,0.46,0.01,31.07
original,20,0,1000,50,10,5,120.89,1.81,0.06,122.19,3.9676011,1.409503,0.3552532,30.47,0.46,0.02,30.8
original,22,0,1000,50,10,5,120.8,1.8,0.04,122.05,3.944963,1.404055,0.3559108,30.62,0.46,0.01,30.94
