version,n-workers,n-secondary-workers,n-reservations,n-relations,n-queries,password-work-factor,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
original,1,0,1000,50,10,5,100.91,11.56,2.92,158.9,5.6034503,2.92682,0.5223246,18.01,2.06,0.52,28.36
original,2,0,1000,50,10,5,107.99,9.85,1.1,155.12,4.7897899,2.046892,0.4273448,22.55,2.06,0.23,32.39
original,4,0,1000,50,10,5,118.36,9.35,1.77,161.57,4.3962454,1.649954,0.3753098,26.92,2.13,0.4,36.75
original,6,0,1000,50,10,5,123.23,9.13,0.79,164.69,4.3281993,1.593345,0.3681312,28.47,2.11,0.18,38.05
original,8,0,1000,50,10,5,131.51,9.27,1.59,173.11,4.3074861,1.560492,0.3622744,30.53,2.15,0.37,40.19
original,10,0,1000,50,10,5,136.04,9.44,1.45,178.35,4.4242575,1.687023,0.3813121,30.75,2.13,0.33,40.31
original,12,0,1000,50,10,5,133.82,9.06,0.1,173.99,4.3422551,1.672436,0.3851538,30.82,2.09,0.02,40.07
original,14,0,1000,50,10,5,140.42,9.33,0.07,181.39,4.4667197,1.779165,0.3983158,31.44,2.09,0.02,40.61
original,16,0,1000,50,10,5,139.1,9.19,0.07,179.65,4.4195705,1.757289,0.3976153,31.47,2.08,0.02,40.65
original,18,0,1000,50,10,5,142.17,9.38,0.08,183.52,4.4958559,1.803911,0.4012386,31.62,2.09,0.02,40.82
original,20,0,1000,50,10,5,148.38,9.62,0.08,190.98,4.5929418,1.894279,0.4124326,32.31,2.09,0.02,41.58
original,22,0,1000,50,10,5,157.7,10.64,2.31,204.68,4.7710998,1.975579,0.414072,33.05,2.23,0.48,42.9
original,24,0,1000,50,10,5,151.21,10.09,1.65,195.67,4.6107668,1.878125,0.4073346,32.79,2.19,0.36,42.44
original,26,0,1000,50,10,5,163.21,11.0,2.91,210.89,4.8144813,2.05638,0.4271239,33.9,2.28,0.6,43.8
original,28,0,1000,50,10,5,161.14,10.62,1.97,207.13,4.7799251,2.043612,0.4275406,33.71,2.22,0.41,43.33
original,30,0,1000,50,10,5,162.95,10.91,2.81,210.93,4.8251156,2.096424,0.4344816,33.77,2.26,0.58,43.72
original,32,0,1000,50,10,5,164.9,11.01,2.7,212.63,4.8645565,2.090475,0.429736,33.9,2.26,0.56,43.71
original,34,0,1000,50,10,5,158.45,10.41,1.89,204.41,4.7630256,2.018131,0.4237078,33.27,2.19,0.4,42.92
original,36,0,1000,50,10,5,158.3,10.08,0.46,202.31,4.7640626,2.062338,0.4328948,33.23,2.12,0.1,42.47
original,38,0,1000,50,10,5,156.29,9.93,0.09,199.72,4.7361278,2.055058,0.433911,33.0,2.1,0.02,42.17
original,40,0,1000,50,10,5,160.61,10.09,0.09,204.47,4.7932018,2.106643,0.4395064,33.51,2.11,0.02,42.66
original,42,0,1000,50,10,5,156.79,10.13,0.08,200.82,4.8116162,2.047694,0.425573,32.59,2.11,0.02,41.74
original,44,0,1000,50,10,5,161.15,10.11,0.08,205.11,4.8122523,2.119926,0.4405268,33.49,2.1,0.02,42.62
original,46,0,1000,50,10,5,156.26,9.89,0.07,199.51,4.7307488,2.035507,0.4302716,33.03,2.09,0.01,42.17
original,48,0,1000,50,10,5,160.1,10.11,0.08,204.0,4.8124605,2.110826,0.4386168,33.27,2.1,0.02,42.39
original,50,0,1000,50,10,5,156.13,9.9,0.08,199.23,4.7159566,2.039482,0.4324641,33.11,2.1,0.02,42.25
original,52,0,1000,50,10,5,165.51,10.42,0.57,210.91,4.9148555,2.223928,0.452491,33.68,2.12,0.12,42.91
original,54,0,1000,50,10,5,174.1,11.06,2.04,222.25,5.0717313,2.325269,0.4584764,34.33,2.18,0.4,43.82
original,56,0,1000,50,10,5,158.98,10.07,0.41,202.9,4.7571702,2.077322,0.4366718,33.42,2.12,0.09,42.65
original,58,0,1000,50,10,5,171.27,10.42,0.08,216.39,4.9442429,2.30002,0.4651915,34.64,2.11,0.02,43.77
original,60,0,1000,50,10,5,162.33,10.15,0.09,206.35,4.8258482,2.15619,0.4468002,33.64,2.1,0.02,42.76
original,62,0,1000,50,10,5,168.05,10.39,0.09,213.11,4.9362246,2.242604,0.4543156,34.04,2.1,0.02,43.17
original,64,0,1000,50,10,5,172.35,10.51,0.09,218.05,5.003755,2.316046,0.4628616,34.44,2.1,0.02,43.58
original,1,0,1000,50,10,5,92.73,10.57,0.07,146.95,5.4512691,2.810394,0.5155486,17.01,1.94,0.01,26.96
original,2,0,1000,50,10,5,104.08,9.33,0.09,149.81,4.7331763,1.998026,0.4221322,21.99,1.97,0.02,31.65
original,4,0,1000,50,10,5,116.35,8.56,0.07,156.49,4.2410995,1.567421,0.3695789,27.43,2.02,0.02,36.9
original,6,0,1000,50,10,5,119.98,8.66,0.07,159.64,4.2502199,1.563413,0.3678429,28.23,2.04,0.02,37.56
original,8,0,1000,50,10,5,128.83,8.67,0.08,167.52,4.1665456,1.515699,0.3637783,30.92,2.08,0.02,40.21
original,10,0,1000,50,10,5,133.75,9.09,0.56,174.64,4.3242518,1.630848,0.3771399,30.93,2.1,0.13,40.39
original,12,0,1000,50,10,5,146.65,10.68,3.97,193.28,4.5309935,1.723542,0.3803894,32.37,2.36,0.88,42.66
original,14,0,1000,50,10,5,146.18,10.98,4.98,193.96,4.580405,1.739536,0.3797778,31.91,2.4,1.09,42.35
original,16,0,1000,50,10,5,152.0,10.69,3.6,198.24,4.6336615,1.808569,0.390311,32.8,2.31,0.78,42.78
original,18,0,1000,50,10,5,144.83,10.23,1.69,188.32,4.5326388,1.766327,0.3896907,31.95,2.26,0.37,41.55
original,20,0,1000,50,10,5,150.72,9.84,0.47,193.86,4.6310857,1.908243,0.4120509,32.55,2.12,0.1,41.86
original,22,0,1000,50,10,5,154.86,9.84,0.09,197.68,4.6400587,1.923814,0.4146098,33.37,2.12,0.02,42.6
original,24,0,1000,50,10,5,154.12,9.83,0.15,196.95,4.6744357,1.970131,0.4214693,32.97,2.1,0.03,42.13
original,26,0,1000,50,10,5,151.75,9.68,0.15,194.37,4.624553,1.934899,0.418397,32.81,2.09,0.03,42.03
original,28,0,1000,50,10,5,156.86,9.84,0.08,199.97,4.6901863,2.01141,0.428855,33.44,2.1,0.02,42.64
original,30,0,1000,50,10,5,155.59,9.85,0.17,198.64,4.6992512,2.023127,0.4305211,33.11,2.1,0.04,42.27
original,32,0,1000,50,10,5,162.4,10.04,0.15,206.46,4.7935821,2.122411,0.442761,33.88,2.09,0.03,43.07
original,34,0,1000,50,10,5,156.53,9.81,0.08,199.39,4.6753693,2.012844,0.4305209,33.48,2.1,0.02,42.65
original,36,0,1000,50,10,5,153.95,9.78,0.17,196.86,4.66258,1.967794,0.4220397,33.02,2.1,0.04,42.22
original,38,0,1000,50,10,5,165.82,10.27,0.16,210.69,4.8604767,2.180945,0.4487101,34.12,2.11,0.03,43.35
original,40,0,1000,50,10,5,161.51,10.07,0.08,205.57,4.7976999,2.104029,0.4385495,33.66,2.1,0.02,42.85
original,42,0,1000,50,10,5,159.3,10.01,0.17,203.2,4.7639026,2.051956,0.43073,33.44,2.1,0.04,42.65
original,44,0,1000,50,10,5,157.64,9.91,0.16,201.29,4.7200116,2.031457,0.4303924,33.4,2.1,0.03,42.65
original,46,0,1000,50,10,5,160.21,9.95,0.09,204.06,4.7371105,2.078578,0.4387861,33.82,2.1,0.02,43.08
original,48,0,1000,50,10,5,162.22,10.1,0.17,206.63,4.7985957,2.109387,0.4395842,33.81,2.1,0.04,43.06
original,50,0,1000,50,10,5,160.23,9.98,0.13,203.91,4.7399302,2.07372,0.4375001,33.8,2.11,0.03,43.02
original,52,0,1000,50,10,5,164.52,10.12,0.09,209.03,4.8286354,2.138454,0.4428692,34.07,2.1,0.02,43.29
original,54,0,1000,50,10,5,165.35,10.24,0.16,210.0,4.852837,2.159563,0.4450104,34.07,2.11,0.03,43.27
original,56,0,1000,50,10,5,162.48,10.15,0.18,206.89,4.8165236,2.118786,0.4398994,33.73,2.11,0.04,42.95
original,58,0,1000,50,10,5,165.62,10.24,0.06,210.3,4.8777681,2.183137,0.4475688,33.95,2.1,0.01,43.11
original,60,0,1000,50,10,5,162.33,10.1,0.17,206.5,4.7931218,2.102114,0.4385689,33.87,2.11,0.04,43.08
original,62,0,1000,50,10,5,168.97,10.33,0.13,214.07,4.9032585,2.230266,0.4548538,34.46,2.11,0.03,43.66
original,64,0,1000,50,10,5,160.65,9.99,0.08,204.47,4.7588416,2.080648,0.4372173,33.76,2.1,0.02,42.97
original,1,0,1000,50,10,5,92.97,10.62,0.2,147.36,5.4896125,2.811865,0.5122156,16.94,1.93,0.04,26.84
original,2,0,1000,50,10,5,104.85,9.22,0.14,149.96,4.6736412,1.988171,0.4254009,22.43,1.97,0.03,32.09
original,4,0,1000,50,10,5,115.78,8.59,0.04,156.02,4.2747527,1.595564,0.3732529,27.08,2.01,0.01,36.5
original,6,0,1000,50,10,5,121.88,8.81,0.16,162.44,4.3374153,1.672784,0.3856638,28.1,2.03,0.04,37.45
original,8,0,1000,50,10,5,132.33,8.85,0.14,171.82,4.2735706,1.619123,0.3788689,30.96,2.07,0.03,40.21
original,10,0,1000,50,10,5,132.49,8.9,0.09,172.04,4.2838003,1.609681,0.37576,30.93,2.08,0.02,40.16
original,12,0,1000,50,10,5,138.21,9.08,0.17,178.61,4.3739883,1.697401,0.3880671,31.6,2.08,0.04,40.83
original,14,0,1000,50,10,5,139.79,9.17,0.15,180.59,4.4030732,1.713035,0.3890544,31.75,2.08,0.03,41.01
original,16,0,1000,50,10,5,143.67,9.25,0.09,184.55,4.4279139,1.77171,0.400123,32.45,2.09,0.02,41.68
original,18,0,1000,50,10,5,146.68,9.42,0.15,188.33,4.5104107,1.841102,0.4081894,32.52,2.09,0.03,41.75
original,20,0,1000,50,10,5,147.35,9.48,0.18,189.34,4.5377733,1.84521,0.4066334,32.47,2.09,0.04,41.73
original,22,0,1000,50,10,5,146.7,9.49,0.08,188.34,4.5379863,1.83415,0.4041771,32.33,2.09,0.02,41.5
original,24,0,1000,50,10,5,150.05,9.56,0.16,192.02,4.5538234,1.890232,0.4150868,32.95,2.1,0.04,42.17
original,26,0,1000,50,10,5,151.67,9.6,0.17,193.91,4.5840651,1.91329,0.4173785,33.09,2.09,0.04,42.3
original,28,0,1000,50,10,5,156.25,9.84,0.07,199.42,4.7023811,2.011372,0.4277348,33.23,2.09,0.01,42.41
original,30,0,1000,50,10,5,153.84,9.73,0.16,196.53,4.6536648,1.973659,0.4241085,33.06,2.09,0.03,42.23
original,32,0,1000,50,10,5,151.8,9.66,0.14,194.14,4.6032579,1.924638,0.4181035,32.98,2.1,0.03,42.17
